"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11.9628000860861,9.72179850479951,14.0319697255266,23.2194154210175,4.46227442435127,18.7144674983046,15.6491353522172,20.1099401414792,14.4316411526677,17.5695843583291,17.6938606474215,20.2680150349967,15.3001986454316,13.5302771035017,11.7163059536995,15.3835308039402,8.32581812963572,19.5405347353588,19.9057525798211,16.5792719591312,25.267062500072,17.4309361876495,15.8232893670916,16.8406538719687,14.9649182616587,14.1720163532015,9.45617855590891,19.0731833913742,8.2237463319079,11.7144296189563,18.1586502805667,15.5702161557947,17.5579916070936,14.4414697178795,16.9109130548583,15.2944515102334,13.8926638921924,16.1582817091645,17.0054785040416,11.9923643287338,20.9589292952835,12.24946775181,14.4973748898084,13.0888218208742,14.3114103509459,12.8129081844005,17.1442526102226,21.9448277125766,14.2573751651703,10.9853128505899,17.8547956331599,17.0106505931423,12.7742263338831,19.3821666342095,18.8721254416294,15.2907286625883,17.6081984874836,20.2157794259279,12.5878392466896,15.9635009892921,11.2639963361029,12.349593430448,18.1114566925642,11.3932329909221,13.162169454952,15.8792039917073,13.6710615714893,11.8340605865819,17.0876813822797,21.0771168491935,14.3843145255314,7.55856828817532,10.5292378232207,13.9369227777295,10.5642024735117,16.577853681501,12.2560019795753,18.2046937943891,6.36054994404752,18.3491804313821,14.2673084786198,16.3747417470561,15.2053692756172,18.107192607336,13.2040277401639,22.0496399263725,16.80365739973,14.1717559482629,20.4322805161726,9.92600390610113,12.5982618318334,19.7852446973869,11.2966887485553,15.1119906907848,25.2587080792903,19.4282752769553,10.7570954944893,16.3979940266174,18.8759250814226,18.7737110333899
"2",12.4624412814658,7.13534343545116,5.26469836361678,11.1305360781406,11.0028654779005,20.1496632485324,15.8038862713472,13.4297536663163,10.7356258022097,15.8173786262635,13.8287480659151,15.7714303026534,18.7939907535049,12.6820465872584,10.7274510363493,13.7371834065663,22.4632785459709,15.0730708394296,10.6463894287412,20.9817464528158,17.5908411033519,12.0079252201446,14.5232802767324,16.4619041405442,20.7446407173771,19.0141614688802,17.7950744205554,14.0547753735946,13.7731280222148,12.9309625291606,13.5783756911591,20.9540584334348,14.1472936187048,20.9822115327873,18.1889044374687,15.0569638831962,10.4794297008633,18.2901067580804,25.6978983855586,12.9596029304424,22.8087444913593,13.9861501519677,12.8697056673427,18.9789609473582,18.9046827754947,13.3705467275177,13.639091922562,15.3691455887415,6.67447145312299,15.3274184877722,13.6974445924904,15.7615239468255,13.9243736941712,13.2106724896509,14.1505873642801,12.6870927884683,11.0141371014309,9.33698902546145,19.3454943882868,12.9748486767418,12.5366488143369,15.5524969356019,9.70556730510354,12.4191165416901,16.2586420575863,18.1471810123864,21.7233476325075,16.7278566935681,14.957672923623,19.0142290687443,18.7070002967233,13.3849181105734,10.9109127978262,18.6846758533673,13.3656046593895,14.4088180871922,13.6414112721353,11.1096274053874,16.6769760208461,4.03614169934724,17.7736525030922,12.1742415161044,16.9480634484359,13.1043027283379,13.5890907666261,5.7121266870296,11.4892093504415,20.1772194028206,18.7738594029995,18.6623611708906,16.128395064641,14.9770632572112,16.3660253020239,14.2448483390901,10.538286225452,13.6413458396576,13.3563128620079,14.5752007003951,14.1169101149797,18.8901356851065
"3",14.1576535769442,17.5560699031887,9.66325458628639,12.3704896959533,12.0112722682558,10.5426543627536,19.870273631041,18.3822868438848,18.3118286885055,16.1174335051555,14.2135144682114,11.4117756080041,9.7527617975431,8.65320993174191,11.328985140682,15.1919438788165,19.8153191397263,12.8736875405199,20.6655061857425,7.63963157690831,9.48276936996624,11.7520315155544,9.20770800002143,8.15017410002228,23.3350516576439,16.6208062363097,13.2719747443547,10.2249464424734,14.0722247450871,15.4471104544855,17.3910422225184,11.2852726963615,11.5273528928369,14.5008391113465,17.8805739351678,20.2955833137674,11.120945653715,18.3326897670006,15.429239068439,10.891605838221,17.2178724420988,17.1113172462406,17.6809388865539,13.1684959335566,8.05716078391949,12.9970867798642,10.5688051782462,12.9912577483378,0,16.6943535918215,18.2726792264078,12.9683840165983,14.820516189416,11.8031096453409,10.2053652424495,8.15915609434903,16.6105920873596,19.6119664746541,18.3288098752251,15.6285154275452,20.6239187568684,10.6481726680713,10.7220835196457,17.8418327643217,16.8978973147789,9.3160685357637,16.4605956661906,14.5418651488253,14.6711201043701,14.9520313187997,13.6449917530349,13.2991894374981,20.2538567262469,16.2912887924116,11.4965855713684,11.2394279844321,8.42036432824718,17.8305535270342,12.6206237599384,13.2715565984567,11.9926639313535,13.266610926785,10.6465095570091,10.8225043030856,13.7495431631991,10.4063175127849,13.7965426927326,22.0642382809412,9.61544632051758,11.563436650312,17.7530292455714,13.6860986348421,17.2753516315482,10.1348962197626,11.3151248134581,13.5878721173139,22.8849866313731,17.5815483624221,16.3973633599348,14.0252000643366
"4",16.4042099228264,17.0629265874599,17.2149759247701,17.343785962115,4.74075847397778,9.25109422220908,14.55562071718,6.57079520271652,15.0681775865932,18.0433866286524,15.5768117724957,13.5531866569546,10.0661296132823,15.7667783657708,9.54517560202845,14.053862176381,9.94889281258499,15.2527160954538,16.5998372345871,13.3696297854616,18.3143431138153,7.95097755830143,10.0485308206699,22.4240349488774,14.7390014067333,17.7495797875593,12.8201781343227,12.6510597337859,26.3280072402014,10.6625588403021,9.57956504023746,11.9932026579931,10.7039723190221,12.9764011295918,14.3261171893308,10.0606419119536,7.71279510024181,14.2892580768488,14.6138016314606,11.632362227687,19.2269358918718,10.6554636296363,10.0861707931825,11.1066093837231,17.1644318340714,16.2370227505092,18.2497349267215,16.3706111254588,11.1121284205256,15.8180594177475,15.1463078699549,16.3366521839694,15.7668911054819,9.10938109846072,11.2758253700197,2.48237098943526,16.0025293174255,17.9187405614312,13.9907903033836,14.4692374570589,11.7715591720366,7.94439745852418,11.7015662680187,10.9317795009008,13.7061885153404,7.91276367139208,18.0695970604159,14.8867627676787,1.76889447666202,19.7315971542553,15.6413754894018,10.1212735557343,13.5619062705681,10.6913050435648,15.0590469367919,21.1068010009958,16.5184654602393,19.6974624811536,9.14474406631279,11.0127065691343,7.61002241666376,14.2892917433013,14.3301478731468,10.8203202205727,10.0296357895313,15.3200254609807,12.5938098729228,4.58095134861001,22.5854669222404,9.19526396612035,7.28987158302985,15.7099119157783,16.5876116288529,15.6238351996973,13.3976804716622,6.59190050830722,12.9653044051987,14.7389884510157,14.5227403903697,17.7251000774258
"5",17.0175921067842,16.8552817469306,8.61129170198166,14.3800526715078,17.9072206248656,12.3534604311957,13.4886076191148,8.13827802525192,8.22136634304902,11.3184035025494,11.7850778512982,13.2136068521499,11.8099333909677,10.9871128090569,15.6914337043744,9.07078376575149,10.3499412901299,2.33520379993896,14.1009807383979,7.71965911006783,8.46438076448252,15.6830551430036,17.4834434876916,9.40378292653142,15.0664110987103,8.24209605587865,8.48898035958681,16.5647501431674,14.129972499035,7.74768752301082,14.5951613029786,10.3681495269877,18.2268582423038,13.1076220160214,8.80739052071342,14.3102477887573,13.3791825750722,8.2618114383437,14.140082910543,6.51762329072817,11.6804022345581,11.9843289751464,12.3102309840172,9.03349022692608,15.9811031327145,15.0915618267218,15.779526581145,8.31232541079124,15.7589296075825,7.18112730122106,17.553871780804,10.6346738941724,11.7527122795893,17.0949815974582,7.27585933770794,20.857316387704,15.1817040957378,9.94375653758581,8.58241050282853,11.0845322092102,11.8957951219997,11.154942907808,12.5742343528322,19.7370524656128,12.3791663133068,12.8450902372488,9.83834344666808,10.0826135788022,18.1714127043909,19.1788733125047,15.4348245976567,13.8882593842526,9.03786035666167,13.1344418159898,15.556514865155,12.1729642977678,13.6152878453603,16.3225656453041,13.0471288938991,15.1480604546566,9.96928443417415,14.8854391427898,12.2528484754365,13.5659323702682,22.8205415438272,6.42644059681311,11.6240508658572,10.9647543676913,16.6124444716096,11.9565073751965,10.2244656684255,15.1651410764052,9.16449298969931,16.5025552879968,17.750569412246,12.3507641815926,14.6192914014292,10.078497440652,18.0327263687178,13.125893487394
"6",9.39004186821023,14.1964241911949,17.5600168164179,10.5575857075633,12.7393783481393,15.7843695899708,15.3065576739687,9.51344612208063,14.6421507822491,12.3828042973795,10.0389782742986,13.8832205874968,14.5655219231659,10.4706118712566,11.4235117394236,10.6676774744905,14.5231397641664,9.28392641134936,9.60312021832302,10.945902066437,9.53797038688723,9.20254222203626,9.66762118975765,10.019041097778,14.1770104679818,11.9186180200086,12.5824838556083,13.3984667666889,16.8700837241129,16.2633278943645,13.0980402341634,11.6220866356786,13.3894923094667,11.4690982084129,6.00321357481284,11.6866843357666,12.2208524030837,6.68666839808275,8.98220358924135,7.73885422322473,10.2526953903223,10.0128532796755,13.5705869140484,15.8572450055594,9.77810146976792,9.04331789563633,8.67766332114059,11.1443605834421,7.83771219955753,9.90616952940362,11.5450555824227,13.2875021014583,14.3178897762776,11.4273083336438,12.2169802052446,12.3554319292032,14.2499576699019,11.7367382268877,15.3369825048197,6.312081220998,11.696036357794,10.0614709945243,8.97291448817481,16.5792732397657,16.8817853594827,15.8224630325914,18.0424744431323,15.5897323965016,12.4512294708912,13.5320049148056,14.9915523736244,12.4754886859161,12.6173814021594,10.3823071152683,12.9495932770969,9.78771337978924,15.0692220209565,17.7688016155459,13.1257358617102,16.9987688611931,11.6444247631107,16.5867400663008,9.42361797616723,8.50743375930417,7.94627702898415,7.63338639080961,9.92625629351502,16.6016786626531,21.1427654907542,8.9337121131931,14.0873584978053,7.96218604245725,11.8062150409955,12.3236203203165,9.24505466151255,14.8214478994728,10.7941567337999,16.4053311157647,9.69264737967112,10.6891528111203
"7",12.4285989508686,15.3790705672913,14.75712823223,13.203585476842,12.2485056304032,9.79285398478255,14.5767319324454,9.67191767829696,15.9183970752826,12.3397120353961,13.4160345896757,12.0642578186785,15.205968526303,15.6360414671836,6.24278733966963,14.5452396554302,13.8210868543822,11.7740165597657,10.7750854022916,14.6983140541864,18.9211713461185,14.2754583755794,13.4205174767758,1.20286537757211,8.59653540445236,17.4977818938602,3.4621304964405,9.47589550679928,11.3618954966297,10.489404067741,10.99807286268,7.56502310136616,9.4957013986064,8.20123592108432,9.87828171485361,13.2952207394014,10.6382145866188,8.83185275154349,19.2216415522858,10.5231444515974,11.5314171638211,14.5834050649474,13.8093477619656,12.3041718296453,10.2074619737819,10.0490743449598,11.0397090319995,12.9710759891885,8.22523161952579,11.8864562018676,14.0799869697627,8.72201285477618,6.57651601100474,14.8933503618881,8.51529403637529,9.55023568607685,14.4322298133924,9.65847244408915,7.03021914824031,6.17553907522453,13.2811317583916,16.9051077750939,10.6959951679851,14.6578284394728,8.35624011773224,6.84263343547078,11.6725540969182,10.0786260101362,11.4674328389193,14.7643542648564,12.7583682926385,11.9528335564942,5.32825787767813,13.2572370625826,12.0648273546599,9.53326420609839,10.0838536212995,9.56900130581443,9.06201705050473,4.438230271046,15.0742148893601,10.9518543784258,11.4457620430139,15.3714086201095,6.72143864658334,10.7428803201835,17.0472372410484,16.2554126205349,10.875821498795,13.109237185704,18.0121168276631,4.40289512973913,10.0873103704032,12.5676401385739,8.59146174760979,10.7182947717526,10.5488316043495,15.4538303159626,12.9531905968332,11.3479011249866
"8",16.1454479197555,5.43609877296679,12.9165656228677,7.43208902535701,9.81013296723397,9.98610131589056,6.03687379287582,12.1896703250594,12.6397739721421,16.0164897086979,13.7444226002202,11.2273514005902,15.2726419077874,13.0061053864743,15.5140648447118,11.6500052721493,8.89756315236146,14.3671665291854,10.0329463517819,12.5953993127378,9.03816960209213,12.9578518607063,10.9936376791595,15.3443466416778,12.9194077597583,7.29659860797187,8.27938954067317,11.7890982031015,7.87053819556456,12.7236093988227,14.0543192699807,11.468881920127,8.71208263861363,15.9814482517954,12.3020989036539,8.65849170237252,5.09244860717368,16.0234436370345,11.0688187398288,11.6677904985187,5.92007466734224,11.6950472350626,15.0784063111243,6.88054204207419,5.62020647109858,12.5747536732962,8.5578461962371,8.90731376411931,13.7303456009761,7.47018683714722,6.27016358045462,12.3764550446029,9.91450169878536,17.1362670986304,11.4729824746806,6.84592367904381,9.63631151227937,4.24864080730955,9.51913198048081,13.4203754840425,19.4635782026591,11.8320772614427,15.7421406647909,10.9924885192475,8.61730354896392,14.1519703876527,10.4925990109272,5.38856364791613,9.23138678377268,13.4103577193471,11.7260315473324,13.0918989720783,12.7263972578901,13.1311598092795,11.6525963839999,9.03137975051095,9.11328663937811,10.7228408113421,10.5611741818305,10.3467151095214,6.91417917983506,5.22428673635585,12.8927899022813,18.4933948807954,7.5810968651075,15.157464289829,17.5343159924434,10.5562509392731,13.1028449835084,9.36617224640256,5.66593151479684,6.14105181937135,5.97334012967018,11.6507408263784,10.4740666898173,13.475624939026,9.62998913397687,10.5504563554917,10.3638584634271,7.61522047793224
"9",15.9136588800095,15.6062498933962,9.73677664046865,9.6859393255132,9.79558518549927,9.65039372210372,10.5724844991156,7.65040656613884,12.1969937776766,12.6956127984307,10.8175753804196,12.1570188406902,10.5028959362142,14.2642190868374,12.1122106197941,14.2634796235393,15.0062828256194,11.9039916098834,10.2119824166992,11.9846729953705,14.3817347934939,9.79463677341805,13.655555682595,12.3347270215815,7.34689472623171,9.63637290833812,7.61653431981456,10.1179358226405,10.9194160833324,10.4496394493606,15.301781936328,9.52822528008187,6.27828487320612,9.10628678444003,10.610875168808,6.59119061319513,8.61145227189588,12.8688092323022,11.6980242113202,7.18187955675397,9.84124925104858,7.06006819724171,9.03345880692473,8.35094311816233,8.18734843579994,10.895745182259,9.35842297533154,17.242441706413,9.41785662052155,18.1334605107846,13.5483621398054,10.1246973103676,8.47872228127086,10.9266385625115,10.601757155309,11.9367669319084,7.16070229865793,11.8185901153466,9.61500842814186,4.16135799112979,11.7901678548392,8.62431613937571,6.26475834311288,11.6061096940457,9.30463309967924,13.5234115258503,4.88423441396199,10.9851510489885,8.34081272895341,8.31306229279914,9.63835529920896,11.2430264872434,10.1777894413502,8.93451373147978,11.2406438022078,5.42136585689918,7.73275837796405,3.96864535852434,14.7106514309811,14.8020867507074,13.6842101172601,9.60265655007285,14.1311662713906,11.1419770381932,10.939171321245,9.03926041430766,8.43081618174939,5.88975589775316,12.0301952362005,8.95087664997042,9.94601484505007,15.3670465897195,7.96944015790455,11.3874793249046,10.055048711489,9.09644500415594,7.40150661459655,10.3102466576589,10.8613404767661,6.69088674101746
"10",11.9319106092257,9.66886821773257,7.23308161576089,12.9419465186471,10.6604211746927,9.03634495097651,8.48816618234034,11.86008267287,9.43042583428506,8.15758230468439,10.093217639295,14.1082963162295,9.0089814249066,10.7199282207789,9.0946715328634,8.67687208575938,13.1345487474212,10.4727791022302,10.7387736726376,9.76584365285655,7.40256852673941,12.3229407420651,10.1593320002388,9.46217304007404,12.5354944764392,9.91226287185836,4.60846428070955,10.834969954167,10.5848052007619,11.8980453856718,12.3952469688274,9.67430050569213,15.3198780019911,9.42708166472009,9.08900599822703,9.42290314175363,8.00357229309093,9.29646515181414,8.6562512908916,9.84767516866438,9.4610004088917,12.1289072823184,8.6695262383957,10.5497435893132,9.67780884526553,12.231348111577,11.2985202454845,7.65879263336567,8.99125384164692,6.64815310163083,9.14350546248545,6.53813155463851,8.56218607301218,10.4312835007502,10.6257269450393,9.92595060956969,6.76919880112449,12.7213291306233,10.4954431366502,7.64616851032581,11.7301304609885,5.16804006676246,9.71560772099444,9.94894008904769,13.2658529709429,6.06258509127066,8.87600231022393,9.41358275057556,15.0422739787006,12.5178346911642,10.2509798236985,5.5074340604151,11.5549127700261,6.89911519276666,8.73558746330697,8.44186231110112,10.9030099808133,9.24445824105935,7.42592933224405,11.4248542282323,8.94951452753336,11.346189924977,9.30783796262984,12.162208889667,7.14666802342548,10.8737835859318,10.5086800929143,13.2786778987214,6.09245691605145,11.9378576855672,8.84557469527521,8.57403486109711,7.74286216419214,9.15200816996491,12.1386971706992,9.54863633773041,10.4437892316997,8.19859801805673,10.2216632940512,9.386760914216
