"","elevation","rich.model3.mean","rich.model3.std"
"1",400,6.08775545761846,0.770363497955631
"2",500,5.94595673204454,0.753556371076531
"3",600,5.72223758850046,0.789898799071123
"4",700,5.55941455283722,0.77938344427386
"5",800,5.36223978555728,0.756691508615598
"6",900,5.21139532619924,0.742494189244518
"7",1000,5.04369356115024,0.786762563632562
"8",1100,4.87352922197815,0.780632434962244
"9",1200,4.6767793538351,0.754939913344405
"10",1300,4.5038587661894,0.741286115253259
"11",1400,4.3992486179597,0.758990583727306
"12",1500,4.16610516642798,0.781040344553983
"13",1600,4.03535355298869,0.752163878734803
"14",1700,3.77712479553914,0.764108756888452
"15",1800,3.57935606071471,0.737413762675921
"16",1900,3.46400422904,0.770528273203141
"17",2000,3.33217071658639,0.76206417252841
"18",2100,3.10586393162882,0.773442438670177
"19",2200,2.86892951436865,0.72676410524166
"20",2300,2.77543019507515,0.732897875945742
"21",2400,2.58037612961388,0.797179212003717
"22",2500,2.41029281760057,0.785071599348429
