lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
1234,Hideaway,MH NF,21.5,Present,Stocked,1256,9.2,6.07,5,1
1235,Timothy,MH NF,17.4,Present,Stocked,988,24.4,561.9,11.33333333,1
1236,Campers,WILL NF,12.9,Present,Stocked,1500,4,2.6,5,1
1237,Serene2,MH NF,19,Present,Stocked,1300,14,10.12,4,1
1239,Buck,MH NF,21.8,Present,Stocked,1244,9.2,4.05,4,1
1240,Elk2,MH NF,19.6,Present,Stocked,1134,9.2,25.91,4,1
1242,Denude,WILL NF,16.4,Present,Stocked,1829,4.9,2.4,6,1
1243,Lost3,WILL NF,13.2,Present,Stocked,1214,2.7,34.4,7,1
1244,Si,MH NF,18.2,Present,Stocked,1268,3.4,3.04,5,1
1245,Porky,WILL NF,22.5,Present,Stocked,1474,5.8,13.5,5,1
1247,Upper Big Slide,MH NF,12.4,Present,Stocked,1293,3.4,0.41,4,1
1250,Blue2,DES NF,14.9,Present,Stocked,1640,95.7,21.9,4,1
1251,Nash,WILL NF,18,Present,Stocked,1506,11.9,10.5,4.5,1
1252,Big Slide,MH NF,11,Present,Stocked,1281,3.1,1.22,5,1
1253,Clear2,WILL NF,11.3,Present,Stocked,918,52.7,59.9,3,1
1255,Shining,MH NF,20.9,Present,Stocked,1067,7.9,6.48,5,1
1258,Shellrock,MH NF,23.4,Present,Stocked,1281,6.9,6.88,6,1
1264,S,DES NF,22,Present,Stocked,1567,2.4,3.2,4,1
1265,LO08,MORA,19,Absent,No Record,1505,2.9,0.306,2.666666667,0
1266,LZ08,MORA,23.1,Absent,No Record,1811,0.5,0.046,1,0
1267,Rock,GP NF,11.5,Present,Stocked,1451,3.4,0.8,5,1
1268,LZ03,MORA,11,Absent,No Record,1873,1,0.233,1.333333333,0
1269,Trillium,MH NF,13.7,Present,Stocked,1098,4.9,25.51,10,1
1271,Long,GP NF,18.5,Present,Stocked,1037,4.3,2.3,5.5,1
1272,Dumbbell,MH NF,20.8,Present,Stocked,1265,1.2,1.22,5,1
1274,Sheep2,GP NF,16,Absent,No Record,1757,2.1,0.2,5,0
1275,Burnt,MH NF,19.3,Present,Stocked,1265,7.9,2.03,4,1
1276,Art,GP NF,16.9,Present,Stocked,1169,3.7,1,3,1
1278,LO17,MORA,26,Absent,No Record,1465,1.2,0.175,2,0
1279,Bench,MORA,19.5,Present,Stocked,1384,11,2.876,17,1
1280,LZ17,MORA,18.4,Absent,No Record,1582,2.1,0.185,3,0
1281,Lemei,GP NF,25.5,Present,Stocked,1482,2.1,2.1,5,1
1282,Salmon,MH NF,13.4,Present,Stocked,1165,1.2,0.41,4,1
1283,LZ05,MORA,11,Absent,No Record,1884,1,0.13,1,0
1284,Elk,GP NF,22,Present,Stocked,1428,4.9,4.8,5,1
1285,Willame,GP NF,17.7,Present,Stocked,1238,4.3,3.8,4,1
1287,Deer2,GP NF,23,Present,Stocked,1488,3.1,1.9,6,1
1288,Veda,MH NF,13,Present,Stocked,1305,4.3,0.81,7,1
1291,Louise,MORA,14.8,Present,Stocked,1401,17.2,7.325,3,1
1292,LZ12,MORA,15.9,Absent,No Record,1652,1,0.021,5,0
1293,Snow,MORA,9.8,Present,Stocked,1426,10.7,2.386,3.2,1
1294,Wood,GP NF,15,Present,Stocked,1482,3.4,4.5,5,1
1295,Bluff,GP NF,14.5,Present,Stocked,1171,10.1,1.6,7,1
1296,LZ19,MORA,16.9,Absent,No Record,1586,2,0.128,4,0
1297,LZ25,MORA,20,Absent,Historically,1203,2.5,2.23,8,0
1298,LZ16,MORA,13.7,Absent,No Record,1606,1,0.032,6,0
1299,Dee,GP NF,25,Present,Stocked,1311,2.1,1.1,6,1
1300,Plaza,MH NF,22.3,Present,Stocked,1118,3.1,2.02,6,1
1301,LO21,MORA,18.5,Absent,No Record,1452,1.3,0.134,3.5,0
1302,LZ26,MORA,19,Absent,Historically,1204,3.2,0.642,5.5,0
1303,LZ15,MORA,16.7,Absent,No Record,1626,1.4,0.211,4,0
1304,LO19,MORA,18.9,Absent,Historically,1425,4,1.684,5,0
1306,LZ35,MORA,16,Present,Stocked,1352,10.5,5.742,4.222222222,1
1307,Synder,GP NF,10.4,Present,Stocked,620,2.4,7,2,1
1308,LZ04,MORA,11,Absent,No Record,1893,1,0.149,1,0
1309,Heather,GP NF,24.5,Present,Stocked,1311,2.4,1,6,1
1310,Wind,MH NF,15.3,Present,Stocked,1415,0.9,0.81,4,1
1311,Glacier,GP NF,10.1,Present,Stocked,886,31.7,10.5,3,1
1312,LO28,MORA,20.9,Absent,No Record,924,1.9,0.74,6,0
1315,Upper Goodfellow,MH NF,18.6,Present,Stocked,952,12.2,8.5,5,1
1316,Chenamus,GP NF,14.5,Present,Stocked,1294,1.8,1.5,4,1
1317,Eunice,GP NF,18.5,Present,Stocked,1316,7,1.9,5,1
1318,Lower Goodfellow,MH NF,20.2,Present,Stocked,867,2.7,4.05,6,1
1319,Mirror,MH NF,19.6,Present,Stocked,1256,5.5,2.02,7,1
1320,Island Pond,GP NF,12.5,Present,Stocked,1642,6.4,1.7,4,1
1321,Reflection,MORA,17.1,Present,Stocked,1479,11.5,6.737,6,1
1322,Hager,GP NF,16.9,Present,Stocked,879,12.2,1.8,4,1
1323,LZ14,MORA,17.4,Absent,No Record,1625,1.3,0.045,4.5,0
1324,Shriner,MORA,18.9,Absent,No Record,1490,3.5,1.68,10,0
1325,LZ18,MORA,11.2,Absent,No Record,1608,0.8,0.049,4,0
1326,Cast,MH NF,18.5,Present,Stocked,1348,1.6,1.62,4,1
1328,Upper Snowshoe,DES NF,23.3,Present,Stocked,1543,3.4,10.9,5,1
1329,Pygmy,DES NF,21.2,Present,Stocked,1707,13.1,16.2,4,1
1330,Wahtum,MH NF,16.3,Present,Stocked,1135,48.8,26.72,4,1
1331,Big Lava,DES NF,12,Present,Stocked,1445,10,142.5,5.5,1
1333,Navaho,DES NF,22.8,Present,Stocked,1601,3.7,1.5,5,1
1334,Clear,MH NF,5.9,Present,Stocked,1072,6.7056,192.225375,9,1
1335,Hidden1,GP NF,18.5,Present,Stocked,1244,1.5,3.6,6,1
1337,Hosmer,DES NF,17.7,Present,Stocked,1514,3.4,64.8,5.5,1
1338,Green,MH NF,24.5,Present,Stocked,1390,0.5,0.81,9,1
1339,Timmy,DES NF,23.4,Present,Stocked,1707,5.5,0.5,8,1
1340,Winopee,DES NF,21.2,Present,Stocked,1510,13.1,16.2,7,1
1341,South Barbie,DES NF,17.9,Present,Stocked,1723,4,0.6,6,1
1342,Johnny,DES NF,13.1,Present,Stocked,1631,6.4,8.1,4,1
