"","elevation","rich.model2.mean","rich.model2.std"
"1",400,6.54834807386001,0.613008654818068
"2",500,6.31754474538471,0.676724737140717
"3",600,6.04764914104244,0.618528557632034
"4",700,5.84885010884335,0.635101815337629
"5",800,5.64534151636218,0.619645285059433
"6",900,5.42103373499864,0.67488723608954
"7",1000,5.22496003086077,0.660357304885044
"8",1100,4.96041333666592,0.668545640321708
"9",1200,4.79797039799589,0.6432701262597
"10",1300,4.60565290862209,0.679822527628877
"11",1400,4.35619073417644,0.66926545113147
"12",1500,4.16794109209223,0.593176008634852
"13",1600,3.95322945429626,0.69329963779466
"14",1700,3.74062972167603,0.659028976816895
"15",1800,3.48032179234922,0.639473295433422
"16",1900,3.26696841315462,0.594921550742214
"17",2000,3.08412615717683,0.642581415043918
"18",2100,2.87451461518714,0.622743385129661
"19",2200,2.58518671304797,0.647334354135872
"20",2300,2.41559237178788,0.658225592907454
"21",2400,2.18634237420788,0.677926093307723
"22",2500,2.02462505553767,0.669955079746237
