"","elevation","rich.model3.mean","rich.model3.std"
"1",400,6.11916525918259,0.748964231538723
"2",500,5.87636118252209,0.746136595149009
"3",600,5.74679342330661,0.762872823758127
"4",700,5.56720470084465,0.76469489922736
"5",800,5.35937586018223,0.788748977064141
"6",900,5.24702324315649,0.765707070270579
"7",1000,5.0508453808687,0.776650044846652
"8",1100,4.89924906139338,0.787661484276408
"9",1200,4.73171890557271,0.732750288564921
"10",1300,4.53100231149099,0.763060268525949
"11",1400,4.34707943945793,0.728905669714797
"12",1500,4.19771444535328,0.785970837847399
"13",1600,3.99518266918297,0.750931144200831
"14",1700,3.79924793335068,0.769900460327001
"15",1800,3.62763307596562,0.741208343896635
"16",1900,3.46483939493391,0.791053792773593
"17",2000,3.25594705616212,0.779325420339237
"18",2100,3.0659171562343,0.721787409996582
"19",2200,2.96542224032417,0.710914087565813
"20",2300,2.78745456526089,0.740177837953624
"21",2400,2.57083115590216,0.768629595073835
"22",2500,2.38095870382912,0.763750348796887
